"","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Art",45.5621301775148,44.6261682242991,50.8119658119658,49.3445965627731,48.953488372093,35.3489294210944,32.0804360082691,36.6098855068417,42.6075949367089
"Comics",52.1739130434783,41.3533834586466,45.4237288135593,47.0386266094421,53.9398280802292,51.8331226295828,51.7169614984391,58.6631016042781,61.9380619380619
"Crafts",36.3636363636364,34.5454545454545,39.3162393162393,39.873417721519,44.0993788819876,19.8231009365245,20.3324313877078,22.6170332769318,25.875486381323
"Dance",37.5,63.905325443787,72.3970944309927,72.156862745098,71.7190388170055,58.6647727272727,47.0304975922953,60.9302325581395,55.1351351351351
"Design",25.8064516129032,41.566265060241,33.4440753045404,41.2819120043455,38.6629698089957,31.8502039302929,30.5145413870246,36.0697359512525,38.5441527446301
"Fashion",15.3846153846154,24.8554913294798,30.8457711442786,26.4116575591985,32.1991701244813,22.5293711126469,20.7314762175478,22.4593742420568,27.3396674584323
"Film & Video",37.6899696048632,39.9728629579376,41.4469573909784,40.1255586294956,42.254850550603,36.1490558457212,29.4452068221917,34.5512082853855,34.5365499727916
"Food",53.125,46.5116279069767,41.0828025477707,37.6795580110497,41.9212040725985,21.4329928814608,19.0035702693931,20.8487084870849,22.3684210526316
"Games",50,29.9145299145299,35.4556803995006,33.824586628325,36.4303178484108,33.0226364846871,30.506875168509,37.3379429559205,41.6509502393733
"Journalism",48.780487804878,36.1702127659575,39.4117647058824,31.6546762589928,38.755980861244,18.494623655914,16.8478260869565,17.2619047619048,19.7431781701445
"Music",53.2203389830509,52.5141930251419,56.885865457294,55.8013544018059,54.6376811594203,41.40625,30.5380116959064,41.6781529979325,43.4630430306774
"Photography",42.4657534246575,40.7725321888412,38.0459770114943,34.375,35.7546408393866,22.8535353535354,24.6118721461187,35,33.878729547642
"Publishing",44.1860465116279,31.4893617021277,33.5992907801418,30.641241353524,33.6263357462944,28.4130284130284,26.3699545576049,32.6390114739629,34.2786448420251
"Technology",31.6666666666667,28.8888888888889,30.6345733041575,39.9753997539975,36.8017524644031,17.7044609665428,16.4966512107161,18.5917496443812,19.4119612429001
"Theater",41.0714285714286,59.1433278418451,65.4656696125085,65.4300168634064,65.2881355932203,56.0732113144759,53.5035629453682,58.6572438162544,53.8205980066445
