"","2010","2011","2012","2013","2014","2015","2016","2017","NA"
"3D Printing",NA,NA,NA,0.393184796854522,1433.33333333333,29.5238095238095,15.748031496063,38.9705882352941,NA
"Academic",41.0714285714286,100,100,0.28735632183908,1812.85714285714,111.702127659574,223.076923076923,648.717948717949,NA
"Accessories",NA,NA,100,85.7142857142857,3.26340326340326,93.6363636363636,10.9355246523388,572.727272727273,NA
"Action",NA,NA,NA,100,2.80487804878049,28.8851351351351,7.56880733944954,124.489795918367,NA
"Animals",NA,NA,95.2380952380952,100,62.3134328358209,0.515463917525773,79.5918367346939,522.222222222222,NA
"Animation",0.602409638554217,100,11200,40,105.603448275862,87.8571428571429,9.42622950819672,31.0679611650485,NA
"Anthologies",50,1400,100,33.3333333333333,41.025641025641,10.5376344086022,16.2100456621005,58.5774058577406,NA
"Apparel",NA,NA,NA,1085.71428571429,291.666666666667,30.7506053268765,432.978723404255,27.1604938271605,NA
"Apps",100,51.5892420537897,54.9657534246575,2.75862068965517,641.666666666667,562.264150943396,54.8484848484848,29.0322580645161,NA
"Architecture",100,100,33950,46.551724137931,53.2258064516129,2.44604316546763,0.0610873549175321,215.789473684211,NA
"Art",6.89655172413793,0.397614314115308,27700,100,327.397260273973,3.486646884273,0.881057268722467,40.5797101449275,NA
"Art Books",16650,25,300,350,69.8675496688742,8.08926080892608,22.4137931034483,19.1780821917808,NA
"Audio",86.6666666666667,NA,NA,NA,188.235294117647,9.49263502454992,73.4042553191489,10.1449275362319,NA
"Bacon",NA,NA,100,100,9.53716690042076,3.39976553341149,16.5384615384615,4.25531914893617,NA
"Blues",NA,NA,NA,85.1162790697674,51.7761033369214,8.03212851405623,4.95185694635488,29.041095890411,NA
"Calendars",NA,NA,NA,300,152.941176470588,462.71186440678,100,2.25763612217796,NA
"Camera Equipment",NA,84.0476190476191,63.1768953068592,100,8.33333333333333,246.666666666667,184.415584415584,48,NA
"Candles",NA,NA,41.2639405204461,12200,257.692307692308,127.272727272727,40.0749063670412,12.7118644067797,NA
"Ceramics",NA,NA,100,200,32.6848249027237,17.5,12.8571428571429,88.0281690140845,NA
"Children's Books",0.65359477124183,18.4672698243747,3.33333333333333,47.9302832244009,25,33.8917525773196,272.727272727273,17.0757737459979,NA
"Childrenswear",NA,NA,NA,100,30.7692307692308,12.1546961325967,5.11013215859031,1.75246440306681,NA
"Chiptune",NA,19.5121951219512,100,66.6666666666667,28.8607594936709,105.113636363636,53.3980582524272,12.0481927710843,NA
"Civic Design",NA,57.8571428571429,24.2088607594937,200,42.6829268292683,112.820512820513,36.25,23.0769230769231,NA
"Classical Music",48600,66200,150,48500,6.03674540682415,195.566502463054,83.3333333333333,230.769230769231,NA
"Comedy",NA,NA,NA,100,7.23684210526316,1826.66666666667,2.33463035019455,104.123711340206,NA
"Comic Books",100,100,100,73.1471535982814,4.98866213151927,2.1865889212828,2.9082774049217,7.78985507246377,NA
"Comics",4400,150,0.540540540540541,24066.6666666667,40.2173913043478,21.2827988338192,93.1372549019608,6.66666666666667,NA
"Community Gardens",55.3191489361702,NA,NA,0.868725868725869,450,20.7792207792208,10.7142857142857,64.5161290322581,NA
"Conceptual Art",100,177.659574468085,255.555555555556,22.1144519883608,12.0955548835803,78.3783783783784,141.176470588235,31.9444444444444,NA
"Cookbooks",NA,NA,NA,3971.42857142857,88.9632107023411,15.1515151515152,57.1428571428571,726.666666666667,NA
"Country & Folk",10800,50,0.881316098707403,100,23.5932203389831,222.950819672131,27.2727272727273,8.33333333333333,NA
"Couture",52.1276595744681,10,92.4242424242424,33.3333333333333,297.435897435897,0.47554347826087,41.9642857142857,115.384615384615,NA
"Crafts",2.34375,13.7295081967213,4233.33333333333,0.380228136882129,24.8366013071895,38.5714285714286,352.941176470588,37.6569037656904,NA
"Crochet",NA,47.0149253731343,33.9702760084926,900,84.4827586206897,437.254901960784,5.95238095238095,3.67775831873905,NA
"Dance",1.53846153846154,0.591715976331361,23.8345370978332,243.356643356643,0.797872340425532,8.63836017569546,50,169.89247311828,NA
"Design",0.699300699300699,8700,5075,12.5,3820,155.234657039711,104.62962962963,391.935483870968,NA
"Digital Art",79.1666666666667,2.97029702970297,3.91061452513966,116.666666666667,47.0588235294118,92.2600619195046,10.2040816326531,70.3947368421053,NA
"DIY",NA,NA,100,0.0717875089734386,5.94594594594595,636.619718309859,28.4491978609626,5.97014925373134,NA
"DIY Electronics",24.0384615384615,41.8457648546144,42.3963133640553,40.4761904761905,373.863636363636,140.397350993378,7.48898678414097,31.6725978647687,NA
"Documentary",5350,2133.33333333333,100,91.6666666666667,383.333333333333,37.6470588235294,129.850746268657,108.333333333333,NA
"Drama",NA,NA,NA,178.143133462282,560.526315789474,100,368.181818181818,65.0793650793651,NA
"Drinks",NA,NA,NA,1.68067226890756,211.111111111111,14.1129032258065,26.9662921348315,5,NA
"Electronic Music",5.88235294117647,533.986928104575,5966.66666666667,0.17961383026493,65.0943396226415,5.65045992115637,10.5263157894737,21.9178082191781,NA
"Embroidery",NA,NA,25.78125,47.5155279503106,NA,55.952380952381,56.7796610169492,38.75,NA
"Events",NA,NA,55.3177691309987,4000,2.07142857142857,146.258503401361,41.6666666666667,4.13223140495868,NA
"Experimental",57.6923076923077,100,35.1585014409222,3.19148936170213,111.794871794872,72.8571428571428,30.4812834224599,3.06748466257669,NA
"Fabrication Tools",66.6666666666667,26.9035532994924,0.495662949194548,233.333333333333,86,177.818181818182,413.04347826087,12.8571428571429,NA
"Faith",NA,NA,NA,100,1.88679245283019,4.32569974554707,47.0238095238095,81.25,NA
"Family",NA,NA,NA,2466.66666666667,46.2585034013605,6.40096618357488,110.06711409396,7.4792243767313,NA
"Fantasy",NA,NA,NA,5250,5.12820512820513,254.901960784314,322.222222222222,6.09756097560976,NA
"Farmer's Markets",NA,NA,NA,0.213857998289136,0.631199278629396,57.847533632287,19.205298013245,1783.33333333333,NA
